"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","task","test_trial"
"","","","","","html-keyboard-response","315","592154","0.0-5.0-0.87","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","316","593733","0.0-5.0-1.87","1578","[""videos/med_med_c4_tan.mov""]","f","response","false"
"","","","","","html-keyboard-response","317","594485","0.0-5.0-0.88","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","318","595899","0.0-5.0-1.88","1413","[""videos/slow_med_c7_tan_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","319","596401","0.0-5.0-0.89","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","320","598207","0.0-5.0-1.89","1804","[""videos/fast_high_c10_tan.mov""]","j","response","false"
"","","","","","html-keyboard-response","321","598959","0.0-5.0-0.90","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","322","600652","0.0-5.0-1.90","1691","[""videos/slow_low_c2_pink_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","323","601654","0.0-5.0-0.91","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","324","603439","0.0-5.0-1.91","1784","[""videos/fast_med_c11_purple.mov""]","j","response","false"
"","","","","","html-keyboard-response","325","604441","0.0-5.0-0.92","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","326","606079","0.0-5.0-1.92","1636","[""videos/med_high_c10_purple_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","327","606580","0.0-5.0-0.93","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","328","609936","0.0-5.0-1.93","3354","[""videos/fast_low_c16_teal_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","329","610688","0.0-5.0-0.94","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","330","614675","0.0-5.0-1.94","3985","[""videos/fast_low_c16_purple_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","331","615779","0.0-5.0-2.94-0.94","1104","<p>You can take a quick break now if you need it.</p>
      <p>Press the spacebar to continue.</p>"," ","",""
"","","","","","html-keyboard-response","332","616281","0.0-5.0-0.95","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","333","618106","0.0-5.0-1.95","1824","[""videos/fast_med_c6_tan.mov""]","f","response","false"
