"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","task","test_trial"
"","","","","","video-keyboard-response","532","904528","0.0-7.0-1.48","1339","[""videos/slow_med_c3_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","533","905280","0.0-7.0-0.49","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","534","906530","0.0-7.0-1.49","1248","[""videos/med_med_c6_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","535","907280","0.0-7.0-0.50","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","536","908665","0.0-7.0-1.50","1383","[""videos/slow_high_c2_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","537","909817","0.0-7.0-2.50-0.50","1152","<p>You can take a quick break now if you need it.</p>
      <p>Press the spacebar to continue.</p>"," ","",""
"","","","","","html-keyboard-response","538","910819","0.0-7.0-0.51","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","539","912166","0.0-7.0-1.51","1346","[""videos/fast_high_c17_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","540","913168","0.0-7.0-0.52","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","541","914326","0.0-7.0-1.52","1156","[""videos/fast_med_c6_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","542","914828","0.0-7.0-0.53","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","543","916200","0.0-7.0-1.53","1371","[""videos/med_low_c5_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","544","917203","0.0-7.0-0.54","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","545","918553","0.0-7.0-1.54","1349","[""videos/slow_high_c3_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","546","919555","0.0-7.0-0.55","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","547","920618","0.0-7.0-1.55","1062","[""videos/med_low_c7_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","548","921371","0.0-7.0-0.56","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","549","922689","0.0-7.0-1.56","1317","[""videos/med_high_c7_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","550","923692","0.0-7.0-0.57","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","551","925035","0.0-7.0-1.57","1341","[""videos/med_med_c4_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","552","925536","0.0-7.0-0.58","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","553","926943","0.0-7.0-1.58","1405","[""videos/slow_high_c1_white.mov""]","f","response","false"
