"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","task","test_trial"
"","","","","","video-keyboard-response","199","349675","0.0-5.0-1.90","1266","[""videos/med_high_c1_tan.mov""]","f","response","false"
"","","","","","html-keyboard-response","200","350176","0.0-5.0-0.91","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","201","351534","0.0-5.0-1.91","1356","[""videos/med_med_c14_teal_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","202","352285","0.0-5.0-0.92","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","203","353744","0.0-5.0-1.92","1458","[""videos/slow_low_c12_purple.mov""]","j","response","false"
"","","","","","html-keyboard-response","204","354747","0.0-5.0-0.93","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","205","355969","0.0-5.0-1.93","1221","[""videos/med_high_c5_pink_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","206","356971","0.0-5.0-0.94","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","207","358754","0.0-5.0-1.94","1782","[""videos/med_low_c12_pink.mov""]","j","response","false"
"","","","","","html-keyboard-response","208","399121","0.0-5.0-2.94-0.94","40366","<p>You can take a quick break now if you need it.</p>
      <p>Press the spacebar to continue.</p>"," ","",""
"","","","","","html-keyboard-response","209","399623","0.0-5.0-0.95","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","210","401318","0.0-5.0-1.95","1693","[""videos/slow_high_c6_teal.mov""]","j","response","false"
"","","","","","html-keyboard-response","211","401820","0.0-5.0-0.96","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","212","403322","0.0-5.0-1.96","1500","[""videos/med_high_c8_pink.mov""]","j","response","false"
"","","","","","html-keyboard-response","213","404324","0.0-5.0-0.97","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
