"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","task","test_trial"
"","","","","","video-keyboard-response","512","674317","0.0-7.0-1.38","911","[""videos/fast_med_c17_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","513","675319","0.0-7.0-0.39","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","514","676092","0.0-7.0-1.39","771","[""videos/fast_high_c17_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","515","676593","0.0-7.0-0.40","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","516","677558","0.0-7.0-1.40","963","[""videos/fast_med_c11_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","517","678559","0.0-7.0-0.41","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","518","680806","0.0-7.0-1.41","2245","[""videos/slow_low_c2_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","519","681558","0.0-7.0-0.42","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","520","683224","0.0-7.0-1.42","1665","[""videos/med_high_c1_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","521","683976","0.0-7.0-0.43","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","522","685757","0.0-7.0-1.43","1779","[""videos/med_low_c12_white.mov""]","j","response","false"
"","","","","","html-keyboard-response","523","686760","0.0-7.0-0.44","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","524","688143","0.0-7.0-1.44","1382","[""videos/med_high_c10_white.mov""]","j","response","false"
"","","","","","html-keyboard-response","525","688895","0.0-7.0-0.45","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","526","690181","0.0-7.0-1.45","1284","[""videos/med_low_c5_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","527","690683","0.0-7.0-0.46","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","528","693199","0.0-7.0-1.46","2515","[""videos/fast_low_c16_white_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","529","693950","0.0-7.0-0.47","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","530","694956","0.0-7.0-1.47","1004","[""videos/slow_low_c3_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","531","695709","0.0-7.0-0.48","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","532","696810","0.0-7.0-1.48","1100","[""videos/slow_med_c4_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","533","697811","0.0-7.0-0.49","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","534","698987","0.0-7.0-1.49","1175","[""videos/fast_low_c5_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","535","699489","0.0-7.0-0.50","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","536","700727","0.0-7.0-1.50","1236","[""videos/med_high_c3_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","537","701687","0.0-7.0-2.50-0.50","960","<p>You can take a quick break now if you need it.</p>
      <p>Press the spacebar to continue.</p>"," ","",""
"","","","","","html-keyboard-response","538","702438","0.0-7.0-0.51","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","539","703571","0.0-7.0-1.51","1131","[""videos/med_med_c6_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","540","704072","0.0-7.0-0.52","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","541","705244","0.0-7.0-1.52","1171","[""videos/fast_low_c12_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","542","705745","0.0-7.0-0.53","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","543","706836","0.0-7.0-1.53","1090","[""videos/slow_low_c1_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","544","707839","0.0-7.0-0.54","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","545","709701","0.0-7.0-1.54","1861","[""videos/slow_high_c4_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","546","710703","0.0-7.0-0.55","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","547","711921","0.0-7.0-1.55","1216","[""videos/slow_med_c1_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","548","712423","0.0-7.0-0.56","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","549","713588","0.0-7.0-1.56","1164","[""videos/fast_med_c6_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","550","714340","0.0-7.0-0.57","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","551","715475","0.0-7.0-1.57","1133","[""videos/slow_med_c3_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","552","716227","0.0-7.0-0.58","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","553","717324","0.0-7.0-1.58","1096","[""videos/fast_high_c4_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","554","718325","0.0-7.0-0.59","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","555","719894","0.0-7.0-1.59","1568","[""videos/med_low_c16_white_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","556","720896","0.0-7.0-0.60","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","557","721922","0.0-7.0-1.60","1024","[""videos/fast_med_c13_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","558","722423","0.0-7.0-0.61","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","559","723463","0.0-7.0-1.61","1039","[""videos/slow_low_c4_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","560","724216","0.0-7.0-0.62","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","561","725421","0.0-7.0-1.62","1204","[""videos/med_low_c7_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","562","726172","0.0-7.0-0.63","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","563","727198","0.0-7.0-1.63","1024","[""videos/med_low_c8_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","564","727699","0.0-7.0-0.64","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","565","728637","0.0-7.0-1.64","936","[""videos/slow_high_c2_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","566","745733","0.0-8.0","17095","<p>Thank you for completing the experiment.</p>","enter","",""
